Case;VehCat;Year;TrafficScenario;Component;RoadCat;AmbientCondPattern;IDSubsegment;Subsegment;Technology;SizeClasse;EmConcept;KM;%OfSubsegment;EFA;EFA_weighted;EFA_km;EFA_km_weighted;EFA_WTT;EFA_WTT_km;EFA_WTW;EFA_WTW_km
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,6-7h,1-2km;121931;PC diesel Euro-3 (DPF);diesel;not specified;PC D Euro-3 (DPF);284639.1563;0.041854195;-0.029943578;0.11011672;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,6-7h,1-2km;121940;PC diesel Euro-4;diesel;not specified;PC D Euro-4;222993.3906;1.82862E-09;-0.207002789;0.11011672;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,6-7h,1-2km;121941;PC diesel Euro-4 (DPF);diesel;not specified;PC D Euro-4 (DPF);222993.3906;0.163578942;-0.310504198;0.11011672;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,6-7h,1-2km;121950;PC diesel Euro-5;diesel;not specified;PC D Euro-5;159892.3125;0.193180934;0.151283205;0.11011672;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,6-7h,1-2km;121965;PC diesel Euro-6c;diesel;not specified;PC D Euro-6c;57040.42969;0.048191596;0;0.11011672;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,6-7h,1-2km;121955;PC diesel Euro-6ab;diesel;not specified;PC D Euro-6ab;94579.64063;0.114155054;-0.154408202;0.11011672;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,6-7h,1-2km;121969;PC diesel Euro-6d;diesel;not specified;PC D Euro-6d;25846.60352;0.070998907;0.262449384;0.11011672;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,6-7h,1-2km;121953;PC diesel Euro-5 EA189 after software update;diesel;not specified;PC D Euro-5;159892.3125;0.02608707;0.151283205;0.11011672;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,6-7h,1-2km;132942;PC CNG/petrol Euro-4_(P);bifuel CNG/petrol;not specified;PC P Euro-4;182447.9688;1.31756E-06;0.45981732;0.11011672;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,6-7h,1-2km;132952;PC CNG/petrol Euro-5_(P);bifuel CNG/petrol;not specified;PC P Euro-5;137575.3594;7.67932E-07;0.40259251;0.11011672;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,6-7h,1-2km;132962;PC CNG/petrol Euro-6_(P);bifuel CNG/petrol;not specified;PC P Euro-6ab;41605.75391;2.89897E-06;0.40259251;0.11011672;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,6-7h,1-2km;141942;PC FFV Euro-4 _(P);flex-fuel E85;not specified;PC P Euro-4;175884.0469;1.05755E-05;0.45981732;0.11011672;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,6-7h,1-2km;141952;PC FFV Euro-5 _(P);flex-fuel E85;not specified;PC P Euro-5;147831.0625;1.78275E-05;0.40259251;0.11011672;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,6-7h,1-2km;141962;PC FFV Euro-6 _(P);flex-fuel E85;not specified;PC P Euro-6ab;42676.96484;1.83909E-05;0.40259251;0.11011672;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,6-7h,1-2km;154952;PC PHEV petrol Euro-5_(P);Plug-in Hybrid petrol/electric;not specified;PC P Euro-5;113248.4688;0.000105315;0.40259251;0.11011672;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,6-7h,1-2km;154965;PC PHEV petrol Euro-6ab_(P);Plug-in Hybrid petrol/electric;not specified;PC P Euro-6ab;63851.94922;0.001487925;0.40259251;0.11011672;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,6-7h,1-2km;154958;PC PHEV petrol Euro-6d_(P);Plug-in Hybrid petrol/electric;not specified;PC P Euro-6ab;23187.92969;0.003065743;0.40259251;0.11011672;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,6-7h,1-2km;155952;PC PHEV diesel Euro-5_(D);Plug-in Hybrid diesel/electric;not specified;PC D Euro-5;167474.75;9.8622E-06;0.151283205;0.11011672;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,6-7h,1-2km;155965;PC PHEV diesel Euro-6ab_(D);Plug-in Hybrid diesel/electric;not specified;PC D Euro-6ab;81889.02344;4.11048E-05;-0.154408202;0.11011672;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,6-7h,1-2km;155958;PC PHEV diesel Euro-6d_(D);Plug-in Hybrid diesel/electric;not specified;PC D Euro-6ab;28318.78125;8.30709E-05;-0.154408202;0.11011672;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,6-7h,1-2km;161922;PC LPG/petrol Euro-2_(P);bifuel LPG/petrol;not specified;PC P Euro-2;237678.8594;1.1714E-06;1.191431046;0.11011672;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,6-7h,1-2km;161932;PC LPG/petrol Euro-3_(P);bifuel LPG/petrol;not specified;PC P Euro-3;218542.3906;7.41075E-06;0.30654487;0.11011672;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,6-7h,1-2km;161942;PC LPG/petrol Euro-4_(P);bifuel LPG/petrol;not specified;PC P Euro-4;168958.2813;7.69436E-05;0.45981732;0.11011672;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,6-7h,1-2km;161952;PC LPG/petrol Euro-5_(P);bifuel LPG/petrol;not specified;PC P Euro-5;153128.6719;4.32505E-05;0.40259251;0.11011672;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,6-7h,1-2km;161962;PC LPG/petrol Euro-6_(P);bifuel LPG/petrol;not specified;PC P Euro-6ab;38473.07422;3.69473E-05;0.40259251;0.11011672;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,7-8h,1-2km;111904;PC petrol ECE-15'04;petrol (4S);not specified;PC P Euro-0;220604.8594;7.97233E-05;-0.169172198;0.105735436;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,7-8h,1-2km;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;210318.5938;0.001219307;2.037769556;0.105735436;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,7-8h,1-2km;111920;PC petrol Euro-2;petrol (4S);not specified;PC P Euro-2;196643.7813;0.008536982;1.151782632;0.105735436;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,7-8h,1-2km;111930;PC petrol Euro-3;petrol (4S);not specified;PC P Euro-3;175838.9844;0.019227868;0.296199024;0.105735436;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,7-8h,1-2km;111940;PC petrol Euro-4;petrol (4S);not specified;PC P Euro-4;145779.25;0.031943236;0.444298565;0.105735436;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,7-8h,1-2km;111950;PC petrol Euro-5;petrol (4S);not specified;PC P Euro-5;106131.7969;0.058916871;0.389005095;0.105735436;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,7-8h,1-2km;111961;PC petrol Euro-6ab;petrol (4S);not specified;PC P Euro-6ab;66197.00781;0.082369171;0.389005095;0.105735436;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,7-8h,1-2km;111965;PC petrol Euro-6c;petrol (4S);not specified;PC P Euro-6cd;43431.35938;0.043270264;0.306420743;0.105735436;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,7-8h,1-2km;111968;PC petrol Euro-6d;petrol (4S);not specified;PC P Euro-6cd;19861.0625;0.064392313;0.306420743;0.105735436;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,7-8h,1-2km;121909;PC diesel 1986-1988;diesel;not specified;PC D Euro-0;406572.9063;3.87844E-05;0.210006446;0.105735436;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,7-8h,1-2km;121910;PC diesel Euro-1;diesel;not specified;PC D Euro-1;377537.25;0.001675499;0.209898964;0.105735436;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,7-8h,1-2km;121921;PC diesel Euro-2 (DPF);diesel;not specified;PC D Euro-2;336490.3125;0.006963221;0.193641201;0.105735436;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,7-8h,1-2km;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;284639.1563;7.01486E-18;-0.030117674;0.105735436;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,7-8h,1-2km;121931;PC diesel Euro-3 (DPF);diesel;not specified;PC D Euro-3 (DPF);284639.1563;0.041854195;-0.030117687;0.105735436;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,7-8h,1-2km;121940;PC diesel Euro-4;diesel;not specified;PC D Euro-4;222993.3906;1.82862E-09;-0.208154604;0.105735436;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,7-8h,1-2km;121941;PC diesel Euro-4 (DPF);diesel;not specified;PC D Euro-4 (DPF);222993.3906;0.163578942;-0.312231928;0.105735436;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,7-8h,1-2km;121950;PC diesel Euro-5;diesel;not specified;PC D Euro-5;159892.3125;0.193180934;0.152002305;0.105735436;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,7-8h,1-2km;121965;PC diesel Euro-6c;diesel;not specified;PC D Euro-6c;57040.42969;0.048191596;0;0.105735436;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,7-8h,1-2km;121955;PC diesel Euro-6ab;diesel;not specified;PC D Euro-6ab;94579.64063;0.114155054;-0.155229434;0.105735436;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,7-8h,1-2km;121969;PC diesel Euro-6d;diesel;not specified;PC D Euro-6d;25846.60352;0.070998907;0.263756692;0.105735436;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,7-8h,1-2km;121953;PC diesel Euro-5 EA189 after software update;diesel;not specified;PC D Euro-5;159892.3125;0.02608707;0.152002305;0.105735436;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,7-8h,1-2km;132942;PC CNG/petrol Euro-4_(P);bifuel CNG/petrol;not specified;PC P Euro-4;182447.9688;1.31756E-06;0.444298565;0.105735436;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,7-8h,1-2km;132952;PC CNG/petrol Euro-5_(P);bifuel CNG/petrol;not specified;PC P Euro-5;137575.3594;7.67932E-07;0.389005095;0.105735436;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,7-8h,1-2km;132962;PC CNG/petrol Euro-6_(P);bifuel CNG/petrol;not specified;PC P Euro-6ab;41605.75391;2.89897E-06;0.389005095;0.105735436;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,7-8h,1-2km;141942;PC FFV Euro-4 _(P);flex-fuel E85;not specified;PC P Euro-4;175884.0469;1.05755E-05;0.444298565;0.105735436;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,7-8h,1-2km;141952;PC FFV Euro-5 _(P);flex-fuel E85;not specified;PC P Euro-5;147831.0625;1.78275E-05;0.389005095;0.105735436;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,7-8h,1-2km;141962;PC FFV Euro-6 _(P);flex-fuel E85;not specified;PC P Euro-6ab;42676.96484;1.83909E-05;0.389005095;0.105735436;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,7-8h,1-2km;154952;PC PHEV petrol Euro-5_(P);Plug-in Hybrid petrol/electric;not specified;PC P Euro-5;113248.4688;0.000105315;0.389005095;0.105735436;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,7-8h,1-2km;154965;PC PHEV petrol Euro-6ab_(P);Plug-in Hybrid petrol/electric;not specified;PC P Euro-6ab;63851.94922;0.001487925;0.389005095;0.105735436;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,7-8h,1-2km;154958;PC PHEV petrol Euro-6d_(P);Plug-in Hybrid petrol/electric;not specified;PC P Euro-6ab;23187.92969;0.003065743;0.389005095;0.105735436;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,7-8h,1-2km;155952;PC PHEV diesel Euro-5_(D);Plug-in Hybrid diesel/electric;not specified;PC D Euro-5;167474.75;9.8622E-06;0.152002305;0.105735436;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,7-8h,1-2km;155965;PC PHEV diesel Euro-6ab_(D);Plug-in Hybrid diesel/electric;not specified;PC D Euro-6ab;81889.02344;4.11048E-05;-0.155229434;0.105735436;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,7-8h,1-2km;155958;PC PHEV diesel Euro-6d_(D);Plug-in Hybrid diesel/electric;not specified;PC D Euro-6ab;28318.78125;8.30709E-05;-0.155229434;0.105735436;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,7-8h,1-2km;161922;PC LPG/petrol Euro-2_(P);bifuel LPG/petrol;not specified;PC P Euro-2;237678.8594;1.1714E-06;1.151782632;0.105735436;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,7-8h,1-2km;161932;PC LPG/petrol Euro-3_(P);bifuel LPG/petrol;not specified;PC P Euro-3;218542.3906;7.41075E-06;0.296199024;0.105735436;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,7-8h,1-2km;161942;PC LPG/petrol Euro-4_(P);bifuel LPG/petrol;not specified;PC P Euro-4;168958.2813;7.69436E-05;0.444298565;0.105735436;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,7-8h,1-2km;161952;PC LPG/petrol Euro-5_(P);bifuel LPG/petrol;not specified;PC P Euro-5;153128.6719;4.32505E-05;0.389005095;0.105735436;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,7-8h,1-2km;161962;PC LPG/petrol Euro-6_(P);bifuel LPG/petrol;not specified;PC P Euro-6ab;38473.07422;3.69473E-05;0.389005095;0.105735436;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,8-9h,1-2km;111904;PC petrol ECE-15'04;petrol (4S);not specified;PC P Euro-0;220604.8594;7.97233E-05;-0.164034918;0.101351336;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,8-9h,1-2km;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;210318.5938;0.001219307;1.967473745;0.101351336;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,8-9h,1-2km;111920;PC petrol Euro-2;petrol (4S);not specified;PC P Euro-2;196643.7813;0.008536982;1.112050295;0.101351336;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,8-9h,1-2km;111930;PC petrol Euro-3;petrol (4S);not specified;PC P Euro-3;175838.9844;0.019227868;0.285853207;0.101351336;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,8-9h,1-2km;111940;PC petrol Euro-4;petrol (4S);not specified;PC P Euro-4;145779.25;0.031943236;0.428779811;0.101351336;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,8-9h,1-2km;111950;PC petrol Euro-5;petrol (4S);not specified;PC P Euro-5;106131.7969;0.058916871;0.37541768;0.101351336;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,8-9h,1-2km;111961;PC petrol Euro-6ab;petrol (4S);not specified;PC P Euro-6ab;66197.00781;0.082369171;0.37541768;0.101351336;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,8-9h,1-2km;111965;PC petrol Euro-6c;petrol (4S);not specified;PC P Euro-6cd;43431.35938;0.043270264;0.295717895;0.101351336;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,8-9h,1-2km;111968;PC petrol Euro-6d;petrol (4S);not specified;PC P Euro-6cd;19861.0625;0.064392313;0.295717895;0.101351336;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,8-9h,1-2km;121909;PC diesel 1986-1988;diesel;not specified;PC D Euro-0;406572.9063;3.87844E-05;0.211043164;0.101351336;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,8-9h,1-2km;121910;PC diesel Euro-1;diesel;not specified;PC D Euro-1;377537.25;0.001675499;0.210935354;0.101351336;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,8-9h,1-2km;121921;PC diesel Euro-2 (DPF);diesel;not specified;PC D Euro-2;336490.3125;0.006963221;0.194637179;0.101351336;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,8-9h,1-2km;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;284639.1563;7.01486E-18;-0.030293779;0.101351336;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,8-9h,1-2km;121931;PC diesel Euro-3 (DPF);diesel;not specified;PC D Euro-3 (DPF);284639.1563;0.041854195;-0.030293794;0.101351336;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,8-9h,1-2km;121940;PC diesel Euro-4;diesel;not specified;PC D Euro-4;222993.3906;1.82862E-09;-0.209318876;0.101351336;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,8-9h,1-2km;121941;PC diesel Euro-4 (DPF);diesel;not specified;PC D Euro-4 (DPF);222993.3906;0.163578942;-0.313978344;0.101351336;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,8-9h,1-2km;121950;PC diesel Euro-5;diesel;not specified;PC D Euro-5;159892.3125;0.193180934;0.152727246;0.101351336;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,8-9h,1-2km;121965;PC diesel Euro-6c;diesel;not specified;PC D Euro-6c;57040.42969;0.048191596;0;0.101351336;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,8-9h,1-2km;121955;PC diesel Euro-6ab;diesel;not specified;PC D Euro-6ab;94579.64063;0.114155054;-0.156058937;0.101351336;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,8-9h,1-2km;121969;PC diesel Euro-6d;diesel;not specified;PC D Euro-6d;25846.60352;0.070998907;0.265075773;0.101351336;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,8-9h,1-2km;121953;PC diesel Euro-5 EA189 after software update;diesel;not specified;PC D Euro-5;159892.3125;0.02608707;0.152727246;0.101351336;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,8-9h,1-2km;132942;PC CNG/petrol Euro-4_(P);bifuel CNG/petrol;not specified;PC P Euro-4;182447.9688;1.31756E-06;0.428779811;0.101351336;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,8-9h,1-2km;132952;PC CNG/petrol Euro-5_(P);bifuel CNG/petrol;not specified;PC P Euro-5;137575.3594;7.67932E-07;0.37541768;0.101351336;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,8-9h,1-2km;132962;PC CNG/petrol Euro-6_(P);bifuel CNG/petrol;not specified;PC P Euro-6ab;41605.75391;2.89897E-06;0.37541768;0.101351336;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,8-9h,1-2km;141942;PC FFV Euro-4 _(P);flex-fuel E85;not specified;PC P Euro-4;175884.0469;1.05755E-05;0.428779811;0.101351336;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,8-9h,1-2km;141952;PC FFV Euro-5 _(P);flex-fuel E85;not specified;PC P Euro-5;147831.0625;1.78275E-05;0.37541768;0.101351336;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,8-9h,1-2km;141962;PC FFV Euro-6 _(P);flex-fuel E85;not specified;PC P Euro-6ab;42676.96484;1.83909E-05;0.37541768;0.101351336;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,8-9h,1-2km;154952;PC PHEV petrol Euro-5_(P);Plug-in Hybrid petrol/electric;not specified;PC P Euro-5;113248.4688;0.000105315;0.37541768;0.101351336;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,8-9h,1-2km;154965;PC PHEV petrol Euro-6ab_(P);Plug-in Hybrid petrol/electric;not specified;PC P Euro-6ab;63851.94922;0.001487925;0.37541768;0.101351336;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,8-9h,1-2km;154958;PC PHEV petrol Euro-6d_(P);Plug-in Hybrid petrol/electric;not specified;PC P Euro-6ab;23187.92969;0.003065743;0.37541768;0.101351336;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,8-9h,1-2km;155952;PC PHEV diesel Euro-5_(D);Plug-in Hybrid diesel/electric;not specified;PC D Euro-5;167474.75;9.8622E-06;0.152727246;0.101351336;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,8-9h,1-2km;155965;PC PHEV diesel Euro-6ab_(D);Plug-in Hybrid diesel/electric;not specified;PC D Euro-6ab;81889.02344;4.11048E-05;-0.156058937;0.101351336;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,8-9h,1-2km;155958;PC PHEV diesel Euro-6d_(D);Plug-in Hybrid diesel/electric;not specified;PC D Euro-6ab;28318.78125;8.30709E-05;-0.156058937;0.101351336;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,8-9h,1-2km;161922;PC LPG/petrol Euro-2_(P);bifuel LPG/petrol;not specified;PC P Euro-2;237678.8594;1.1714E-06;1.112050295;0.101351336;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,8-9h,1-2km;161932;PC LPG/petrol Euro-3_(P);bifuel LPG/petrol;not specified;PC P Euro-3;218542.3906;7.41075E-06;0.285853207;0.101351336;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,8-9h,1-2km;161942;PC LPG/petrol Euro-4_(P);bifuel LPG/petrol;not specified;PC P Euro-4;168958.2813;7.69436E-05;0.428779811;0.101351336;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,8-9h,1-2km;161952;PC LPG/petrol Euro-5_(P);bifuel LPG/petrol;not specified;PC P Euro-5;153128.6719;4.32505E-05;0.37541768;0.101351336;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,8-9h,1-2km;161962;PC LPG/petrol Euro-6_(P);bifuel LPG/petrol;not specified;PC P Euro-6ab;38473.07422;3.69473E-05;0.37541768;0.101351336;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,9-10h,1-2km;111904;PC petrol ECE-15'04;petrol (4S);not specified;PC P Euro-0;220604.8594;7.97233E-05;-0.158847719;0.096964456;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,9-10h,1-2km;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;210318.5938;0.001219307;1.897038937;0.096964456;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,9-10h,1-2km;111920;PC petrol Euro-2;petrol (4S);not specified;PC P Euro-2;196643.7813;0.008536982;1.072239399;0.096964456;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,9-10h,1-2km;111930;PC petrol Euro-3;petrol (4S);not specified;PC P Euro-3;175838.9844;0.019227868;0.275507361;0.096964456;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,9-10h,1-2km;111940;PC petrol Euro-4;petrol (4S);not specified;PC P Euro-4;145779.25;0.031943236;0.413261086;0.096964456;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,9-10h,1-2km;111950;PC petrol Euro-5;petrol (4S);not specified;PC P Euro-5;106131.7969;0.058916871;0.361830264;0.096964456;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,9-10h,1-2km;111961;PC petrol Euro-6ab;petrol (4S);not specified;PC P Euro-6ab;66197.00781;0.082369171;0.361830264;0.096964456;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,9-10h,1-2km;111965;PC petrol Euro-6c;petrol (4S);not specified;PC P Euro-6cd;43431.35938;0.043270264;0.285015017;0.096964456;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,9-10h,1-2km;111968;PC petrol Euro-6d;petrol (4S);not specified;PC P Euro-6cd;19861.0625;0.064392313;0.285015017;0.096964456;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,9-10h,1-2km;121909;PC diesel 1986-1988;diesel;not specified;PC D Euro-0;406572.9063;3.87844E-05;0.212089017;0.096964456;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,9-10h,1-2km;121910;PC diesel Euro-1;diesel;not specified;PC D Euro-1;377537.25;0.001675499;0.211980879;0.096964456;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,9-10h,1-2km;121921;PC diesel Euro-2 (DPF);diesel;not specified;PC D Euro-2;336490.3125;0.006963221;0.195642635;0.096964456;;;;;;
